Fri 17 Oct 2025 00:18:08 IDT

SLURM_JOBID:		 7494516
SLURM_JOB_NODELIST:	 cs-6000-04 

configuration parmas running: problem_type=bbob es_algorithms=PGPE,ASEBO,Open_ES,SNES,Sep_CMA_ES,CMA_ES,LES,DES
Successfully loaded: sphere
 Loading Problems ..:   0%|                                                              | 0/24 [00:00<?, ?it/s]
running the experiment ... [../../results/BBOBProblem/sphere/PGPE/0]
Generation 016 | Mean fitness (Test): 202.53
Generation 992 | Mean fitness (Test): 44.93
Generation 1008 | Mean fitness (Test): 44.93
Generation 1024 | Mean fitness (Test): 44.93
running the experiment ... [../../results/BBOBProblem/weierstrass/SNES/1]
Generation 016 | Mean fitness (Test): 52.59
Generation 032 | Mean fitness (Test): 49.72
Generation 048 | Mean fitness (Test): 45.31
Generation 064 | Mean fitness (Test): 45.63
Generation 080 | Mean fitness (Test): 44.78
Generation 096 | Mean fitness (Test): 44.73
Generation 112 | Mean fitness (Test): 44.64
Generation 128 | Mean fitness (Test): 44.64
Generation 144 | Mean fitness (Test): 44.69
Generation 160 | Mean fitness (Test): 44.70
Generation 176 | Mean fitness (Test): 44.68
Generation 192 | Mean fitness (Test): 44.66
Generation 208 | Mean fitness (Test): 44.66
Generation 224 | Mean fitness (Test): 44.65
Generation 240 | Mean fitness (Test): 44.67
Generation 256 | Mean fitness (Test): 44.67
Generation 272 | Mean fitness (Test): 44.66
Generation 288 | Mean fitness (Test): 44.66
Generation 304 | Mean fitness (Test): 44.66
Generation 320 | Mean fitness (Test): 44.66
Generation 336 | Mean fitness (Test): 44.67
Generation 352 | Mean fitness (Test): 44.66
Generation 368 | Mean fitness (Test): 44.65
Generation 384 | Mean fitness (Test): 44.66
Generation 400 | Mean fitness (Test): 44.66
Generation 416 | Mean fitness (Test): 44.67
Generation 432 | Mean fitness (Test): 44.67
Generation 448 | Mean fitness (Test): 44.67
Generation 464 | Mean fitness (Test): 44.67
Generation 480 | Mean fitness (Test): 44.67
Generation 496 | Mean fitness (Test): 44.67
Generation 512 | Mean fitness (Test): 44.67
Generation 528 | Mean fitness (Test): 44.67
Generation 544 | Mean fitness (Test): 44.67
Generation 560 | Mean fitness (Test): 44.68
Generation 576 | Mean fitness (Test): 44.68
Generation 592 | Mean fitness (Test): 44.68
Generation 608 | Mean fitness (Test): 44.69
Generation 624 | Mean fitness (Test): 44.69
Generation 640 | Mean fitness (Test): 44.68
Generation 656 | Mean fitness (Test): 44.68
Generation 672 | Mean fitness (Test): 44.68
Generation 688 | Mean fitness (Test): 44.68
Generation 704 | Mean fitness (Test): 44.69
Generation 720 | Mean fitness (Test): 44.69
Generation 736 | Mean fitness (Test): 44.69
Generation 752 | Mean fitness (Test): 44.69
Generation 768 | Mean fitness (Test): 44.69
Generation 784 | Mean fitness (Test): 44.68
Generation 800 | Mean fitness (Test): 44.69
Generation 816 | Mean fitness (Test): 44.68
Generation 832 | Mean fitness (Test): 44.69
Generation 848 | Mean fitness (Test): 44.68
Generation 864 | Mean fitness (Test): 44.69
Generation 880 | Mean fitness (Test): 44.68
Generation 896 | Mean fitness (Test): 44.69
Generation 912 | Mean fitness (Test): 44.68
Generation 928 | Mean fitness (Test): 44.68
Generation 944 | Mean fitness (Test): 44.68
Generation 960 | Mean fitness (Test): 44.68
Generation 976 | Mean fitness (Test): 44.68
Generation 992 | Mean fitness (Test): 44.68
Generation 1008 | Mean fitness (Test): 44.68
Generation 1024 | Mean fitness (Test): 44.69
running the experiment ... [../../results/BBOBProblem/weierstrass/SNES/2]
Generation 016 | Mean fitness (Test): 63.64
Generation 032 | Mean fitness (Test): 54.13
Generation 048 | Mean fitness (Test): 46.17
Generation 064 | Mean fitness (Test): 45.53
Generation 080 | Mean fitness (Test): 45.02
Generation 096 | Mean fitness (Test): 44.60
Generation 112 | Mean fitness (Test): 44.55
Generation 128 | Mean fitness (Test): 44.53
Generation 144 | Mean fitness (Test): 44.55
Generation 160 | Mean fitness (Test): 44.54
Generation 176 | Mean fitness (Test): 44.56
Generation 192 | Mean fitness (Test): 44.55
Generation 208 | Mean fitness (Test): 44.55
Generation 224 | Mean fitness (Test): 44.55
Generation 240 | Mean fitness (Test): 44.55
Generation 256 | Mean fitness (Test): 44.55
Generation 272 | Mean fitness (Test): 44.55
Generation 288 | Mean fitness (Test): 44.55
Generation 304 | Mean fitness (Test): 44.55
Generation 320 | Mean fitness (Test): 44.55
Generation 336 | Mean fitness (Test): 44.55
Generation 352 | Mean fitness (Test): 44.55
Generation 368 | Mean fitness (Test): 44.55
Generation 384 | Mean fitness (Test): 44.55
Generation 400 | Mean fitness (Test): 44.55
Generation 416 | Mean fitness (Test): 44.55
Generation 432 | Mean fitness (Test): 44.55
Generation 448 | Mean fitness (Test): 44.56
Generation 464 | Mean fitness (Test): 44.56
Generation 480 | Mean fitness (Test): 44.55
Generation 496 | Mean fitness (Test): 44.55
Generation 512 | Mean fitness (Test): 44.56
Generation 528 | Mean fitness (Test): 44.56
Generation 544 | Mean fitness (Test): 44.56
Generation 560 | Mean fitness (Test): 44.57
Generation 576 | Mean fitness (Test): 44.56
Generation 592 | Mean fitness (Test): 44.56
Generation 608 | Mean fitness (Test): 44.55
Generation 624 | Mean fitness (Test): 44.56
Generation 640 | Mean fitness (Test): 44.55
Generation 656 | Mean fitness (Test): 44.55
Generation 672 | Mean fitness (Test): 44.55
Generation 688 | Mean fitness (Test): 44.55
Generation 704 | Mean fitness (Test): 44.55
Generation 720 | Mean fitness (Test): 44.55
Generation 736 | Mean fitness (Test): 44.56
Generation 752 | Mean fitness (Test): 44.56
Generation 768 | Mean fitness (Test): 44.55
Generation 784 | Mean fitness (Test): 44.55
Generation 800 | Mean fitness (Test): 44.55
Generation 816 | Mean fitness (Test): 44.55
Generation 832 | Mean fitness (Test): 44.55
Generation 848 | Mean fitness (Test): 44.55
Generation 864 | Mean fitness (Test): 44.56
Generation 880 | Mean fitness (Test): 44.55
Generation 896 | Mean fitness (Test): 44.55
Generation 912 | Mean fitness (Test): 44.55
Generation 928 | Mean fitness (Test): 44.55
Generation 944 | Mean fitness (Test): 44.56
Generation 960 | Mean fitness (Test): 44.55
Generation 976 | Mean fitness (Test): 44.55
Generation 992 | Mean fitness (Test): 44.55
Generation 1008 | Mean fitness (Test): 44.55
Generation 1024 | Mean fitness (Test): 44.55
running the experiment ... [../../results/BBOBProblem/weierstrass/SNES/3]
Generation 016 | Mean fitness (Test): 56.20
Generation 032 | Mean fitness (Test): 47.50
Generation 048 | Mean fitness (Test): 45.43
Generation 064 | Mean fitness (Test): 44.70
Generation 080 | Mean fitness (Test): 44.48
Generation 096 | Mean fitness (Test): 44.45
Generation 112 | Mean fitness (Test): 44.47
Generation 128 | Mean fitness (Test): 44.45
Generation 144 | Mean fitness (Test): 44.45
Generation 160 | Mean fitness (Test): 44.45
Generation 176 | Mean fitness (Test): 44.45
Generation 192 | Mean fitness (Test): 44.45
Generation 208 | Mean fitness (Test): 44.45
Generation 224 | Mean fitness (Test): 44.45
Generation 240 | Mean fitness (Test): 44.44
Generation 256 | Mean fitness (Test): 44.44
Generation 272 | Mean fitness (Test): 44.45
Generation 288 | Mean fitness (Test): 44.45
Generation 304 | Mean fitness (Test): 44.45
Generation 320 | Mean fitness (Test): 44.45
Generation 336 | Mean fitness (Test): 44.45
Generation 352 | Mean fitness (Test): 44.45
Generation 368 | Mean fitness (Test): 44.45
Generation 384 | Mean fitness (Test): 44.45
Generation 400 | Mean fitness (Test): 44.45
Generation 416 | Mean fitness (Test): 44.45
Generation 432 | Mean fitness (Test): 44.45
Generation 448 | Mean fitness (Test): 44.45
Generation 464 | Mean fitness (Test): 44.45
Generation 480 | Mean fitness (Test): 44.45
Generation 496 | Mean fitness (Test): 44.45
Generation 512 | Mean fitness (Test): 44.45
Generation 528 | Mean fitness (Test): 44.45
Generation 544 | Mean fitness (Test): 44.45
Generation 560 | Mean fitness (Test): 44.45
Generation 576 | Mean fitness (Test): 44.45
Generation 592 | Mean fitness (Test): 44.45
Generation 608 | Mean fitness (Test): 44.45
Generation 624 | Mean fitness (Test): 44.45
Generation 640 | Mean fitness (Test): 44.45
Generation 656 | Mean fitness (Test): 44.45
Generation 672 | Mean fitness (Test): 44.45
Generation 688 | Mean fitness (Test): 44.45
Generation 704 | Mean fitness (Test): 44.45
Generation 720 | Mean fitness (Test): 44.45
Generation 736 | Mean fitness (Test): 44.45
Generation 752 | Mean fitness (Test): 44.45
Generation 768 | Mean fitness (Test): 44.45
Generation 784 | Mean fitness (Test): 44.45
Generation 800 | Mean fitness (Test): 44.45
Generation 816 | Mean fitness (Test): 44.45
Generation 832 | Mean fitness (Test): 44.45
Generation 848 | Mean fitness (Test): 44.45
Generation 864 | Mean fitness (Test): 44.45
Generation 880 | Mean fitness (Test): 44.44
Generation 896 | Mean fitness (Test): 44.45
Generation 912 | Mean fitness (Test): 44.45
Generation 928 | Mean fitness (Test): 44.45
Generation 944 | Mean fitness (Test): 44.45
Generation 960 | Mean fitness (Test): 44.45
Generation 976 | Mean fitness (Test): 44.45
Generation 992 | Mean fitness (Test): 44.45
Generation 1008 | Mean fitness (Test): 44.45
Generation 1024 | Mean fitness (Test): 44.45
running the experiment ... [../../results/BBOBProblem/weierstrass/SNES/4]
Generation 016 | Mean fitness (Test): 92.87
Generation 032 | Mean fitness (Test): 78.87
Generation 048 | Mean fitness (Test): 62.46
Generation 064 | Mean fitness (Test): 48.21
Generation 080 | Mean fitness (Test): 45.66
Generation 096 | Mean fitness (Test): 44.94
Generation 112 | Mean fitness (Test): 44.58
Generation 128 | Mean fitness (Test): 44.57
Generation 144 | Mean fitness (Test): 44.54
Generation 160 | Mean fitness (Test): 44.50
Generation 176 | Mean fitness (Test): 44.52
Generation 192 | Mean fitness (Test): 44.52
Generation 208 | Mean fitness (Test): 44.52
Generation 224 | Mean fitness (Test): 44.52
Generation 240 | Mean fitness (Test): 44.53
Generation 256 | Mean fitness (Test): 44.53
Generation 272 | Mean fitness (Test): 44.53
Generation 288 | Mean fitness (Test): 44.53
Generation 304 | Mean fitness (Test): 44.53
Generation 320 | Mean fitness (Test): 44.53
Generation 336 | Mean fitness (Test): 44.53
Generation 352 | Mean fitness (Test): 44.53
Generation 368 | Mean fitness (Test): 44.52
Generation 384 | Mean fitness (Test): 44.52
Generation 400 | Mean fitness (Test): 44.52
Generation 416 | Mean fitness (Test): 44.52
Generation 432 | Mean fitness (Test): 44.52
Generation 448 | Mean fitness (Test): 44.52
Generation 464 | Mean fitness (Test): 44.52
Generation 480 | Mean fitness (Test): 44.52
Generation 496 | Mean fitness (Test): 44.52
Generation 512 | Mean fitness (Test): 44.52
Generation 528 | Mean fitness (Test): 44.52
Generation 544 | Mean fitness (Test): 44.53
Generation 560 | Mean fitness (Test): 44.52
Generation 576 | Mean fitness (Test): 44.52
Generation 592 | Mean fitness (Test): 44.52
Generation 608 | Mean fitness (Test): 44.52
Generation 624 | Mean fitness (Test): 44.52
Generation 640 | Mean fitness (Test): 44.52
Generation 656 | Mean fitness (Test): 44.52
Generation 672 | Mean fitness (Test): 44.52
Generation 688 | Mean fitness (Test): 44.52
Generation 704 | Mean fitness (Test): 44.52
Generation 720 | Mean fitness (Test): 44.53
Generation 736 | Mean fitness (Test): 44.53
Generation 752 | Mean fitness (Test): 44.52
Generation 768 | Mean fitness (Test): 44.52
Generation 784 | Mean fitness (Test): 44.53
Generation 800 | Mean fitness (Test): 44.52
Generation 816 | Mean fitness (Test): 44.53
Generation 832 | Mean fitness (Test): 44.53
Generation 848 | Mean fitness (Test): 44.53
Generation 864 | Mean fitness (Test): 44.53
Generation 880 | Mean fitness (Test): 44.53
Generation 896 | Mean fitness (Test): 44.53
Generation 912 | Mean fitness (Test): 44.53
Generation 928 | Mean fitness (Test): 44.53
Generation 944 | Mean fitness (Test): 44.53
Generation 960 | Mean fitness (Test): 44.53
Generation 976 | Mean fitness (Test): 44.53
Generation 992 | Mean fitness (Test): 44.53
Generation 1008 | Mean fitness (Test): 44.53
Generation 1024 | Mean fitness (Test): 44.53
Running ES algorithms:  38%|███████████████████▌                                | 3/8 [24:09<38:36, 463.32s/it][A
running the experiment ... [../../results/BBOBProblem/weierstrass/Sep_CMA_ES/0]
Generation 016 | Mean fitness (Test): 87.32
Generation 032 | Mean fitness (Test): 47.07
Generation 048 | Mean fitness (Test): 45.25
Generation 064 | Mean fitness (Test): 45.03
Generation 080 | Mean fitness (Test): 44.93
Generation 096 | Mean fitness (Test): 44.95
Generation 112 | Mean fitness (Test): 44.95
Generation 128 | Mean fitness (Test): 44.93
Generation 144 | Mean fitness (Test): 44.92
Generation 160 | Mean fitness (Test): 44.93
Generation 176 | Mean fitness (Test): 44.93
Generation 192 | Mean fitness (Test): 44.93
Generation 208 | Mean fitness (Test): 44.94
Generation 224 | Mean fitness (Test): 44.93
Generation 240 | Mean fitness (Test): 44.92
Generation 256 | Mean fitness (Test): 44.93
Generation 272 | Mean fitness (Test): 44.93
Generation 288 | Mean fitness (Test): 44.93
Generation 304 | Mean fitness (Test): 44.93
Generation 320 | Mean fitness (Test): 44.93
Generation 336 | Mean fitness (Test): 44.92
Generation 352 | Mean fitness (Test): 44.93
Generation 368 | Mean fitness (Test): 44.93
Generation 384 | Mean fitness (Test): 44.93
Generation 400 | Mean fitness (Test): 44.93
Generation 416 | Mean fitness (Test): 44.93
Generation 432 | Mean fitness (Test): 44.93
Generation 448 | Mean fitness (Test): 44.93
Generation 464 | Mean fitness (Test): 44.93
Generation 480 | Mean fitness (Test): 44.93
Generation 496 | Mean fitness (Test): 44.93
Generation 512 | Mean fitness (Test): 44.93
Generation 528 | Mean fitness (Test): 44.93
Generation 544 | Mean fitness (Test): 44.93
Generation 560 | Mean fitness (Test): 44.93
Generation 576 | Mean fitness (Test): 44.93
Generation 592 | Mean fitness (Test): 44.93
Generation 608 | Mean fitness (Test): 44.93
Generation 624 | Mean fitness (Test): 44.93
Generation 640 | Mean fitness (Test): 44.93
Generation 656 | Mean fitness (Test): 44.93
Generation 672 | Mean fitness (Test): 44.93
Generation 688 | Mean fitness (Test): 44.93
Generation 704 | Mean fitness (Test): 44.93
Generation 720 | Mean fitness (Test): 44.93
Generation 736 | Mean fitness (Test): 44.93
Generation 752 | Mean fitness (Test): 44.93
Generation 768 | Mean fitness (Test): 44.93
Generation 784 | Mean fitness (Test): 44.93
Generation 800 | Mean fitness (Test): 44.93
Generation 816 | Mean fitness (Test): 44.93
Generation 832 | Mean fitness (Test): 44.93
Generation 848 | Mean fitness (Test): 44.93
Generation 864 | Mean fitness (Test): 44.93
Generation 880 | Mean fitness (Test): 44.93
Generation 896 | Mean fitness (Test): 44.93
Generation 912 | Mean fitness (Test): 44.93
Generation 928 | Mean fitness (Test): 44.93
Generation 944 | Mean fitness (Test): 44.93
Generation 960 | Mean fitness (Test): 44.93
Generation 976 | Mean fitness (Test): 44.93
Generation 992 | Mean fitness (Test): 44.93
Generation 1008 | Mean fitness (Test): 44.93
Generation 1024 | Mean fitness (Test): 44.93
running the experiment ... [../../results/BBOBProblem/weierstrass/Sep_CMA_ES/1]
Generation 016 | Mean fitness (Test): 61.37
Generation 032 | Mean fitness (Test): 48.49
Generation 048 | Mean fitness (Test): 46.08
Generation 064 | Mean fitness (Test): 45.35
Generation 080 | Mean fitness (Test): 44.96
Generation 096 | Mean fitness (Test): 44.90
Generation 112 | Mean fitness (Test): 44.95
Generation 128 | Mean fitness (Test): 44.94
Generation 144 | Mean fitness (Test): 44.93
Generation 160 | Mean fitness (Test): 44.92
Generation 176 | Mean fitness (Test): 44.90
Generation 192 | Mean fitness (Test): 44.89
Generation 208 | Mean fitness (Test): 44.89
Generation 224 | Mean fitness (Test): 44.89
Generation 240 | Mean fitness (Test): 44.89
Generation 256 | Mean fitness (Test): 44.89
Generation 272 | Mean fitness (Test): 44.89
Generation 288 | Mean fitness (Test): 44.89
Generation 304 | Mean fitness (Test): 44.89
Generation 320 | Mean fitness (Test): 44.89
Generation 336 | Mean fitness (Test): 44.89
Generation 352 | Mean fitness (Test): 44.89
Generation 368 | Mean fitness (Test): 44.89
Generation 384 | Mean fitness (Test): 44.89
Generation 400 | Mean fitness (Test): 44.89
Generation 416 | Mean fitness (Test): 44.89
Generation 432 | Mean fitness (Test): 44.89
Generation 448 | Mean fitness (Test): 44.89
Generation 464 | Mean fitness (Test): 44.89
Generation 480 | Mean fitness (Test): 44.89
Generation 496 | Mean fitness (Test): 44.89
Generation 512 | Mean fitness (Test): 44.89
Generation 528 | Mean fitness (Test): 44.89
Generation 544 | Mean fitness (Test): 44.89
Generation 560 | Mean fitness (Test): 44.89
Generation 576 | Mean fitness (Test): 44.89
Generation 592 | Mean fitness (Test): 44.89
Generation 608 | Mean fitness (Test): 44.89
Generation 624 | Mean fitness (Test): 44.89
Generation 640 | Mean fitness (Test): 44.89
Generation 656 | Mean fitness (Test): 44.89
Generation 672 | Mean fitness (Test): 44.89
Generation 688 | Mean fitness (Test): 44.89
Generation 704 | Mean fitness (Test): 44.89
Generation 720 | Mean fitness (Test): 44.89
Generation 736 | Mean fitness (Test): 44.89
Generation 752 | Mean fitness (Test): 44.89
Generation 768 | Mean fitness (Test): 44.89
Generation 784 | Mean fitness (Test): 44.89
Generation 800 | Mean fitness (Test): 44.89
Generation 816 | Mean fitness (Test): 44.89
Generation 832 | Mean fitness (Test): 44.89
Generation 848 | Mean fitness (Test): 44.89
Generation 864 | Mean fitness (Test): 44.89
Generation 880 | Mean fitness (Test): 44.89
Generation 896 | Mean fitness (Test): 44.89
Generation 912 | Mean fitness (Test): 44.89
Generation 928 | Mean fitness (Test): 44.89
Generation 944 | Mean fitness (Test): 44.89
Generation 960 | Mean fitness (Test): 44.89
Generation 976 | Mean fitness (Test): 44.89
Generation 992 | Mean fitness (Test): 44.89
Generation 1008 | Mean fitness (Test): 44.89
Generation 1024 | Mean fitness (Test): 44.89
running the experiment ... [../../results/BBOBProblem/weierstrass/Sep_CMA_ES/2]
Generation 016 | Mean fitness (Test): 72.62
Generation 032 | Mean fitness (Test): 47.20
Generation 048 | Mean fitness (Test): 45.65
Generation 064 | Mean fitness (Test): 44.95
Generation 080 | Mean fitness (Test): 44.88
Generation 096 | Mean fitness (Test): 44.86
Generation 112 | Mean fitness (Test): 44.87
Generation 128 | Mean fitness (Test): 44.85
Generation 144 | Mean fitness (Test): 44.86
Generation 160 | Mean fitness (Test): 44.86
Generation 176 | Mean fitness (Test): 44.86
Generation 192 | Mean fitness (Test): 44.86
Generation 208 | Mean fitness (Test): 44.87
Generation 224 | Mean fitness (Test): 44.87
Generation 240 | Mean fitness (Test): 44.88
Generation 256 | Mean fitness (Test): 44.88
Generation 272 | Mean fitness (Test): 44.89
Generation 288 | Mean fitness (Test): 44.88
Generation 304 | Mean fitness (Test): 44.87
Generation 320 | Mean fitness (Test): 44.87
Generation 336 | Mean fitness (Test): 44.87
Generation 352 | Mean fitness (Test): 44.87
Generation 368 | Mean fitness (Test): 44.87
Generation 384 | Mean fitness (Test): 44.88
Generation 400 | Mean fitness (Test): 44.88
Generation 416 | Mean fitness (Test): 44.87
Generation 432 | Mean fitness (Test): 44.88
Generation 448 | Mean fitness (Test): 44.88
Generation 464 | Mean fitness (Test): 44.88
Generation 480 | Mean fitness (Test): 44.88
Generation 496 | Mean fitness (Test): 44.88
Generation 512 | Mean fitness (Test): 44.88
Generation 528 | Mean fitness (Test): 44.87
Generation 544 | Mean fitness (Test): 44.88
Generation 560 | Mean fitness (Test): 44.88
Generation 576 | Mean fitness (Test): 44.88
Generation 592 | Mean fitness (Test): 44.88
Generation 608 | Mean fitness (Test): 44.88
Generation 624 | Mean fitness (Test): 44.88
Generation 640 | Mean fitness (Test): 44.88
Generation 656 | Mean fitness (Test): 44.88
Generation 672 | Mean fitness (Test): 44.88
Generation 688 | Mean fitness (Test): 44.88
Generation 704 | Mean fitness (Test): 44.88
Generation 720 | Mean fitness (Test): 44.88
Generation 736 | Mean fitness (Test): 44.88
Generation 752 | Mean fitness (Test): 44.88
Generation 768 | Mean fitness (Test): 44.88
Generation 784 | Mean fitness (Test): 44.88
Generation 800 | Mean fitness (Test): 44.88
Generation 816 | Mean fitness (Test): 44.88
Generation 832 | Mean fitness (Test): 44.88
Generation 848 | Mean fitness (Test): 44.88
Generation 864 | Mean fitness (Test): 44.88
Generation 880 | Mean fitness (Test): 44.88
Generation 896 | Mean fitness (Test): 44.88
Generation 912 | Mean fitness (Test): 44.88
Generation 928 | Mean fitness (Test): 44.88
Generation 944 | Mean fitness (Test): 44.88
Generation 960 | Mean fitness (Test): 44.88
Generation 976 | Mean fitness (Test): 44.88
Generation 992 | Mean fitness (Test): 44.88
Generation 1008 | Mean fitness (Test): 44.88
Generation 1024 | Mean fitness (Test): 44.88
running the experiment ... [../../results/BBOBProblem/weierstrass/Sep_CMA_ES/3]
Generation 016 | Mean fitness (Test): 51.05
Generation 032 | Mean fitness (Test): 46.69
Generation 048 | Mean fitness (Test): 44.90
Generation 064 | Mean fitness (Test): 44.57
Generation 080 | Mean fitness (Test): 44.62
Generation 096 | Mean fitness (Test): 44.64
Generation 112 | Mean fitness (Test): 44.66
Generation 128 | Mean fitness (Test): 44.62
Generation 144 | Mean fitness (Test): 44.61
Generation 160 | Mean fitness (Test): 44.61
Generation 176 | Mean fitness (Test): 44.61
Generation 192 | Mean fitness (Test): 44.61
Generation 208 | Mean fitness (Test): 44.61
Generation 224 | Mean fitness (Test): 44.61
Generation 240 | Mean fitness (Test): 44.61
Generation 256 | Mean fitness (Test): 44.61
Generation 272 | Mean fitness (Test): 44.61
Generation 288 | Mean fitness (Test): 44.61
Generation 304 | Mean fitness (Test): 44.61
Generation 320 | Mean fitness (Test): 44.61
Generation 336 | Mean fitness (Test): 44.61
Generation 352 | Mean fitness (Test): 44.61
Generation 368 | Mean fitness (Test): 44.61
Generation 384 | Mean fitness (Test): 44.61
Generation 400 | Mean fitness (Test): 44.61
Generation 416 | Mean fitness (Test): 44.61
Generation 432 | Mean fitness (Test): 44.61
Generation 448 | Mean fitness (Test): 44.61
Generation 464 | Mean fitness (Test): 44.61
Generation 480 | Mean fitness (Test): 44.61
Generation 496 | Mean fitness (Test): 44.61
Generation 512 | Mean fitness (Test): 44.61
Generation 528 | Mean fitness (Test): 44.61
Generation 544 | Mean fitness (Test): 44.61
Generation 560 | Mean fitness (Test): 44.61
Generation 576 | Mean fitness (Test): 44.61
Generation 592 | Mean fitness (Test): 44.61
Generation 608 | Mean fitness (Test): 44.61
Generation 624 | Mean fitness (Test): 44.61
Generation 640 | Mean fitness (Test): 44.61
Generation 656 | Mean fitness (Test): 44.61
Generation 672 | Mean fitness (Test): 44.61
Generation 688 | Mean fitness (Test): 44.61
Generation 704 | Mean fitness (Test): 44.61
Generation 720 | Mean fitness (Test): 44.61
Generation 736 | Mean fitness (Test): 44.61
Generation 752 | Mean fitness (Test): 44.61
Generation 768 | Mean fitness (Test): 44.61
Generation 784 | Mean fitness (Test): 44.61
Generation 800 | Mean fitness (Test): 44.61
Generation 816 | Mean fitness (Test): 44.61
Generation 832 | Mean fitness (Test): 44.61
Generation 848 | Mean fitness (Test): 44.61
Generation 864 | Mean fitness (Test): 44.61
Generation 880 | Mean fitness (Test): 44.61
Generation 896 | Mean fitness (Test): 44.61
Generation 912 | Mean fitness (Test): 44.61
Generation 928 | Mean fitness (Test): 44.61
Generation 944 | Mean fitness (Test): 44.61
Generation 960 | Mean fitness (Test): 44.61
Generation 976 | Mean fitness (Test): 44.61
Generation 992 | Mean fitness (Test): 44.61
Generation 1008 | Mean fitness (Test): 44.61
Generation 1024 | Mean fitness (Test): 44.61
running the experiment ... [../../results/BBOBProblem/weierstrass/Sep_CMA_ES/4]
Generation 016 | Mean fitness (Test): 108.92
Generation 032 | Mean fitness (Test): 73.47
Generation 048 | Mean fitness (Test): 49.94
Generation 064 | Mean fitness (Test): 47.79
Generation 080 | Mean fitness (Test): 45.91
Generation 096 | Mean fitness (Test): 45.25
Generation 112 | Mean fitness (Test): 45.27
Generation 128 | Mean fitness (Test): 45.26
Generation 144 | Mean fitness (Test): 45.31
Generation 160 | Mean fitness (Test): 45.23
Generation 176 | Mean fitness (Test): 45.24
Generation 192 | Mean fitness (Test): 45.21
Generation 208 | Mean fitness (Test): 45.20
Generation 224 | Mean fitness (Test): 45.18
Generation 240 | Mean fitness (Test): 45.19
Generation 256 | Mean fitness (Test): 45.18
Generation 272 | Mean fitness (Test): 45.22
Generation 288 | Mean fitness (Test): 45.21
Generation 304 | Mean fitness (Test): 45.22
Generation 320 | Mean fitness (Test): 45.20
Generation 336 | Mean fitness (Test): 45.21
Generation 352 | Mean fitness (Test): 45.20
Generation 368 | Mean fitness (Test): 45.20
Generation 384 | Mean fitness (Test): 45.20
Generation 400 | Mean fitness (Test): 45.19
Generation 416 | Mean fitness (Test): 45.19
Generation 432 | Mean fitness (Test): 45.19
Generation 448 | Mean fitness (Test): 45.19
Generation 464 | Mean fitness (Test): 45.19
Generation 480 | Mean fitness (Test): 45.19
Generation 496 | Mean fitness (Test): 45.19
Generation 512 | Mean fitness (Test): 45.19
Generation 528 | Mean fitness (Test): 45.19
Generation 544 | Mean fitness (Test): 45.19
Generation 560 | Mean fitness (Test): 45.19
Generation 576 | Mean fitness (Test): 45.19
Generation 592 | Mean fitness (Test): 45.19
Generation 608 | Mean fitness (Test): 45.19
Generation 624 | Mean fitness (Test): 45.19
Generation 640 | Mean fitness (Test): 45.19
Generation 656 | Mean fitness (Test): 45.19
Generation 672 | Mean fitness (Test): 45.19
Generation 688 | Mean fitness (Test): 45.19
Generation 704 | Mean fitness (Test): 45.19
Generation 720 | Mean fitness (Test): 45.19
Generation 736 | Mean fitness (Test): 45.19
Generation 752 | Mean fitness (Test): 45.19
Generation 768 | Mean fitness (Test): 45.19
Generation 784 | Mean fitness (Test): 45.19
Generation 800 | Mean fitness (Test): 45.19
Generation 816 | Mean fitness (Test): 45.19
Generation 832 | Mean fitness (Test): 45.19
Generation 848 | Mean fitness (Test): 45.19
Generation 864 | Mean fitness (Test): 45.19
Generation 880 | Mean fitness (Test): 45.19
Generation 896 | Mean fitness (Test): 45.19
Generation 912 | Mean fitness (Test): 45.19
Generation 928 | Mean fitness (Test): 45.19
Generation 944 | Mean fitness (Test): 45.19
Generation 960 | Mean fitness (Test): 45.19
Generation 976 | Mean fitness (Test): 45.19
Generation 992 | Mean fitness (Test): 45.19
Generation 1008 | Mean fitness (Test): 45.19
Generation 1024 | Mean fitness (Test): 45.19
Running ES algorithms:  50%|██████████████████████████                          | 4/8 [31:43<30:38, 459.52s/it][A
running the experiment ... [../../results/BBOBProblem/weierstrass/CMA_ES/0]
Generation 016 | Mean fitness (Test): 56.41
Generation 032 | Mean fitness (Test): 44.57
Generation 048 | Mean fitness (Test): 44.43
Generation 064 | Mean fitness (Test): 44.43
Generation 080 | Mean fitness (Test): 44.43
Generation 096 | Mean fitness (Test): 44.42
Generation 112 | Mean fitness (Test): 44.42
Generation 128 | Mean fitness (Test): 44.42
Generation 144 | Mean fitness (Test): 44.42
Generation 160 | Mean fitness (Test): 44.42
Generation 176 | Mean fitness (Test): 44.42
Generation 192 | Mean fitness (Test): 44.42
Generation 208 | Mean fitness (Test): 44.42
Generation 224 | Mean fitness (Test): 44.42
Generation 240 | Mean fitness (Test): 44.42
Generation 256 | Mean fitness (Test): 44.42
Generation 272 | Mean fitness (Test): 44.42
Generation 288 | Mean fitness (Test): 44.42
Generation 304 | Mean fitness (Test): 44.42
Generation 320 | Mean fitness (Test): 44.42
Generation 336 | Mean fitness (Test): 44.42
Generation 352 | Mean fitness (Test): 44.42
Generation 368 | Mean fitness (Test): 44.42
Generation 384 | Mean fitness (Test): 44.42
