Sun 09 Nov 2025 00:24:21 IST

SLURM_JOBID:		 8041820
SLURM_JOB_NODELIST:	 ise-pheno-08 

configuration parmas running: problem_type=brax es_algorithms=LES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:42.982046 2942615 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/LearnedES/0]
Generation 790 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -6.72 | Mean fitness (Train): -37.58 | Mean fitness (Test): -28.35
Generation 800 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -14.29 | Mean fitness (Train): -70.59 | Mean fitness (Test): -104.76
Generation 810 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -16.21 | Mean fitness (Train): -60.06 | Mean fitness (Test): -54.06
Generation 820 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -12.17 | Mean fitness (Train): -56.27 | Mean fitness (Test): -38.01
Generation 830 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -7.03 | Mean fitness (Train): -48.62 | Mean fitness (Test): -8.01
Generation 840 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -8.08 | Mean fitness (Train): -42.48 | Mean fitness (Test): -92.51
Generation 850 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -12.31 | Mean fitness (Train): -61.95 | Mean fitness (Test): -94.84
Generation 860 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -7.85 | Mean fitness (Train): -38.61 | Mean fitness (Test): -40.84
Generation 870 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -17.91 | Mean fitness (Train): -55.53 | Mean fitness (Test): -23.31
Generation 880 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -13.08 | Mean fitness (Train): -58.61 | Mean fitness (Test): -46.38
Generation 890 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -13.63 | Mean fitness (Train): -43.88 | Mean fitness (Test): -19.71
Generation 900 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -6.94 | Mean fitness (Train): -28.17 | Mean fitness (Test): -7.42
Generation 910 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -10.05 | Mean fitness (Train): -44.16 | Mean fitness (Test): -46.19
Generation 920 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -12.87 | Mean fitness (Train): -58.67 | Mean fitness (Test): -14.99
Generation 930 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -9.03 | Mean fitness (Train): -39.77 | Mean fitness (Test): -18.36
Generation 940 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -6.34 | Mean fitness (Train): -16.27 | Mean fitness (Test): -10.65
Generation 950 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -10.21 | Mean fitness (Train): -42.65 | Mean fitness (Test): -13.32
Generation 960 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -9.25 | Mean fitness (Train): -40.23 | Mean fitness (Test): -11.99
Generation 970 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -16.84 | Mean fitness (Train): -58.31 | Mean fitness (Test): -75.82
Generation 980 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -13.79 | Mean fitness (Train): -58.91 | Mean fitness (Test): -62.07
Generation 990 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -7.59 | Mean fitness (Train): -48.42 | Mean fitness (Test): -52.86
Generation 1000 | Best fitness (Train): 11.64 | Best fitness in generation (Train): -9.28 | Mean fitness (Train): -57.22 | Mean fitness (Test): -30.87
running the experiment ... [../../results/BraxProblem/ant/LearnedES/1]
Generation 010 | Best fitness (Train): -5.18 | Best fitness in generation (Train): -8.84 | Mean fitness (Train): -57.50 | Mean fitness (Test): -35.09
Generation 020 | Best fitness (Train): -3.71 | Best fitness in generation (Train): -5.74 | Mean fitness (Train): -51.45 | Mean fitness (Test): -67.31
Generation 030 | Best fitness (Train): -3.71 | Best fitness in generation (Train): -6.39 | Mean fitness (Train): -41.01 | Mean fitness (Test): -13.19
Generation 040 | Best fitness (Train): -3.71 | Best fitness in generation (Train): -6.96 | Mean fitness (Train): -41.97 | Mean fitness (Test): -17.09
Generation 050 | Best fitness (Train): -3.71 | Best fitness in generation (Train): -5.37 | Mean fitness (Train): -40.25 | Mean fitness (Test): -34.07
Generation 060 | Best fitness (Train): -3.71 | Best fitness in generation (Train): -6.63 | Mean fitness (Train): -48.44 | Mean fitness (Test): -110.23
Generation 070 | Best fitness (Train): -3.71 | Best fitness in generation (Train): -8.18 | Mean fitness (Train): -39.68 | Mean fitness (Test): -15.16
