Sun 09 Nov 2025 00:24:20 IST

SLURM_JOBID:		 8041819
SLURM_JOB_NODELIST:	 cs-pheno-11 

configuration parmas running: problem_type=brax es_algorithms=SNES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:42.994873 2077099 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/SNES/0]
Generation 770 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -5.73 | Mean fitness (Train): -9.27 | Mean fitness (Test): -9.50
Generation 780 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -3.90 | Mean fitness (Train): -9.56 | Mean fitness (Test): -9.47
Generation 790 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -3.42 | Mean fitness (Train): -31.00 | Mean fitness (Test): -73.64
Generation 800 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -8.57 | Mean fitness (Train): -43.22 | Mean fitness (Test): -46.62
Generation 810 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -3.95 | Mean fitness (Train): -19.37 | Mean fitness (Test): -15.78
Generation 820 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -6.10 | Mean fitness (Train): -39.53 | Mean fitness (Test): -5.97
Generation 830 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -5.21 | Mean fitness (Train): -15.30 | Mean fitness (Test): -6.60
Generation 840 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -5.11 | Mean fitness (Train): -9.16 | Mean fitness (Test): -8.47
Generation 850 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -4.55 | Mean fitness (Train): -13.99 | Mean fitness (Test): -6.02
Generation 860 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -3.66 | Mean fitness (Train): -14.97 | Mean fitness (Test): -4.39
Generation 870 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -5.30 | Mean fitness (Train): -23.28 | Mean fitness (Test): -21.41
