Sun 09 Nov 2025 00:24:20 IST

SLURM_JOBID:		 8041818
SLURM_JOB_NODELIST:	 cs-pheno-07 

configuration parmas running: problem_type=brax es_algorithms=Open_ES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:43.006209  544259 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/Open_ES/0]
Generation 830 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -6.92 | Mean fitness (Train): -12.64 | Mean fitness (Test): -11.92
Generation 840 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -6.66 | Mean fitness (Train): -21.83 | Mean fitness (Test): -8.32
Generation 850 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -6.73 | Mean fitness (Train): -16.51 | Mean fitness (Test): -12.97
Generation 860 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -6.71 | Mean fitness (Train): -18.09 | Mean fitness (Test): -14.96
Generation 870 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.54 | Mean fitness (Train): -35.64 | Mean fitness (Test): -80.91
Generation 880 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.90 | Mean fitness (Train): -41.29 | Mean fitness (Test): -10.05
Generation 890 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.70 | Mean fitness (Train): -22.63 | Mean fitness (Test): -50.38
Generation 900 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.15 | Mean fitness (Train): -16.73 | Mean fitness (Test): -10.65
Generation 910 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.29 | Mean fitness (Train): -10.19 | Mean fitness (Test): -7.66
Generation 920 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.65 | Mean fitness (Train): -28.07 | Mean fitness (Test): -7.18
Generation 930 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -7.15 | Mean fitness (Train): -15.33 | Mean fitness (Test): -10.58
Generation 940 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.32 | Mean fitness (Train): -32.45 | Mean fitness (Test): -56.65
Generation 950 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.04 | Mean fitness (Train): -8.42 | Mean fitness (Test): -6.57
Generation 960 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.79 | Mean fitness (Train): -29.33 | Mean fitness (Test): -8.26
Generation 970 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -4.64 | Mean fitness (Train): -13.11 | Mean fitness (Test): -11.84
Generation 980 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -6.26 | Mean fitness (Train): -15.29 | Mean fitness (Test): -14.06
Generation 990 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -6.75 | Mean fitness (Train): -27.98 | Mean fitness (Test): -9.84
Generation 1000 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.04 | Mean fitness (Train): -9.37 | Mean fitness (Test): -10.20
running the experiment ... [../../results/BraxProblem/ant/Open_ES/1]
Generation 010 | Best fitness (Train): -4.86 | Best fitness in generation (Train): -6.52 | Mean fitness (Train): -53.98 | Mean fitness (Test): -5.63
Generation 020 | Best fitness (Train): -0.12 | Best fitness in generation (Train): -7.27 | Mean fitness (Train): -55.93 | Mean fitness (Test): -48.20
Generation 030 | Best fitness (Train): -0.12 | Best fitness in generation (Train): -5.10 | Mean fitness (Train): -46.83 | Mean fitness (Test): -25.99
Generation 040 | Best fitness (Train): -0.12 | Best fitness in generation (Train): -7.25 | Mean fitness (Train): -55.86 | Mean fitness (Test): -55.46
Generation 050 | Best fitness (Train): -0.12 | Best fitness in generation (Train): -6.54 | Mean fitness (Train): -43.61 | Mean fitness (Test): -13.32
Generation 060 | Best fitness (Train): -0.12 | Best fitness in generation (Train): -5.77 | Mean fitness (Train): -56.83 | Mean fitness (Test): -47.74
Generation 070 | Best fitness (Train): -0.12 | Best fitness in generation (Train): -9.97 | Mean fitness (Train): -51.71 | Mean fitness (Test): -9.20
Generation 080 | Best fitness (Train): -0.12 | Best fitness in generation (Train): -7.10 | Mean fitness (Train): -48.32 | Mean fitness (Test): -5.16
Generation 090 | Best fitness (Train): -0.12 | Best fitness in generation (Train): -6.64 | Mean fitness (Train): -52.53 | Mean fitness (Test): -5.18
Generation 100 | Best fitness (Train): -0.12 | Best fitness in generation (Train): -5.43 | Mean fitness (Train): -46.10 | Mean fitness (Test): -12.07
Generation 110 | Best fitness (Train): -0.12 | Best fitness in generation (Train): -6.23 | Mean fitness (Train): -45.08 | Mean fitness (Test): -102.12
Generation 120 | Best fitness (Train): -0.12 | Best fitness in generation (Train): -6.00 | Mean fitness (Train): -51.46 | Mean fitness (Test): -49.49
Generation 130 | Best fitness (Train): -0.12 | Best fitness in generation (Train): -2.74 | Mean fitness (Train): -46.86 | Mean fitness (Test): -12.88
Generation 140 | Best fitness (Train): -0.12 | Best fitness in generation (Train): -6.71 | Mean fitness (Train): -50.31 | Mean fitness (Test): -8.08
Generation 150 | Best fitness (Train): -0.12 | Best fitness in generation (Train): -6.89 | Mean fitness (Train): -44.15 | Mean fitness (Test): -7.56
Generation 160 | Best fitness (Train): -0.12 | Best fitness in generation (Train): -6.32 | Mean fitness (Train): -46.65 | Mean fitness (Test): -15.75
Generation 170 | Best fitness (Train): -0.12 | Best fitness in generation (Train): -6.25 | Mean fitness (Train): -45.38 | Mean fitness (Test): -57.48
Generation 180 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -6.95 | Mean fitness (Train): -41.16 | Mean fitness (Test): -86.02
Generation 190 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -7.33 | Mean fitness (Train): -46.74 | Mean fitness (Test): -13.35
Generation 200 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -5.32 | Mean fitness (Train): -43.69 | Mean fitness (Test): -41.54
Generation 210 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -9.58 | Mean fitness (Train): -43.35 | Mean fitness (Test): -10.93
Generation 220 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -5.61 | Mean fitness (Train): -34.74 | Mean fitness (Test): -9.25
Generation 230 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -8.17 | Mean fitness (Train): -38.55 | Mean fitness (Test): -11.83
Generation 240 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -6.20 | Mean fitness (Train): -32.76 | Mean fitness (Test): -11.78
Generation 250 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -5.92 | Mean fitness (Train): -34.12 | Mean fitness (Test): -14.53
Generation 260 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -6.06 | Mean fitness (Train): -24.78 | Mean fitness (Test): -7.42
Generation 270 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -5.24 | Mean fitness (Train): -22.85 | Mean fitness (Test): -7.85
Generation 280 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -4.75 | Mean fitness (Train): -22.30 | Mean fitness (Test): -7.88
Generation 290 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -9.88 | Mean fitness (Train): -19.37 | Mean fitness (Test): -16.14
Generation 300 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -4.60 | Mean fitness (Train): -18.89 | Mean fitness (Test): -10.18
Generation 310 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -4.19 | Mean fitness (Train): -19.17 | Mean fitness (Test): -7.69
Generation 320 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -7.97 | Mean fitness (Train): -13.69 | Mean fitness (Test): -13.80
Generation 330 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -7.03 | Mean fitness (Train): -22.65 | Mean fitness (Test): -13.90
Generation 340 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -6.60 | Mean fitness (Train): -17.68 | Mean fitness (Test): -12.78
Generation 350 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -6.05 | Mean fitness (Train): -12.45 | Mean fitness (Test): -13.53
Generation 360 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -5.09 | Mean fitness (Train): -20.39 | Mean fitness (Test): -11.94
Generation 370 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -8.00 | Mean fitness (Train): -20.72 | Mean fitness (Test): -10.05
Generation 380 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -6.59 | Mean fitness (Train): -10.83 | Mean fitness (Test): -9.96
Generation 390 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -8.60 | Mean fitness (Train): -36.26 | Mean fitness (Test): -30.40
Generation 400 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -4.99 | Mean fitness (Train): -18.75 | Mean fitness (Test): -8.38
Generation 410 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -5.51 | Mean fitness (Train): -21.64 | Mean fitness (Test): -8.59
Generation 420 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -6.71 | Mean fitness (Train): -30.72 | Mean fitness (Test): -15.22
Generation 430 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -7.99 | Mean fitness (Train): -12.61 | Mean fitness (Test): -11.65
Generation 440 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -6.22 | Mean fitness (Train): -14.44 | Mean fitness (Test): -9.77
Generation 450 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -5.33 | Mean fitness (Train): -11.44 | Mean fitness (Test): -11.26
Generation 460 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -3.83 | Mean fitness (Train): -34.47 | Mean fitness (Test): -34.56
Generation 470 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -9.55 | Mean fitness (Train): -32.78 | Mean fitness (Test): -14.20
Generation 480 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -7.05 | Mean fitness (Train): -16.29 | Mean fitness (Test): -12.08
Generation 490 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -5.73 | Mean fitness (Train): -13.50 | Mean fitness (Test): -13.12
Generation 500 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -3.66 | Mean fitness (Train): -9.78 | Mean fitness (Test): -8.99
Generation 510 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -5.01 | Mean fitness (Train): -11.47 | Mean fitness (Test): -12.43
Generation 520 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -7.07 | Mean fitness (Train): -14.67 | Mean fitness (Test): -11.29
Generation 530 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -5.18 | Mean fitness (Train): -22.62 | Mean fitness (Test): -21.97
Generation 540 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -7.76 | Mean fitness (Train): -25.05 | Mean fitness (Test): -15.22
Generation 550 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -9.42 | Mean fitness (Train): -36.25 | Mean fitness (Test): -36.43
Generation 560 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -5.98 | Mean fitness (Train): -12.45 | Mean fitness (Test): -11.44
Generation 570 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -6.92 | Mean fitness (Train): -9.75 | Mean fitness (Test): -11.66
Generation 580 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -8.76 | Mean fitness (Train): -23.96 | Mean fitness (Test): -13.26
Generation 590 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -6.03 | Mean fitness (Train): -25.23 | Mean fitness (Test): -42.06
Generation 600 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -4.53 | Mean fitness (Train): -15.26 | Mean fitness (Test): -8.66
Generation 610 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -6.93 | Mean fitness (Train): -33.93 | Mean fitness (Test): -15.07
Generation 620 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -3.92 | Mean fitness (Train): -11.16 | Mean fitness (Test): -7.69
Generation 630 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -5.84 | Mean fitness (Train): -17.49 | Mean fitness (Test): -14.20
Generation 640 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -6.70 | Mean fitness (Train): -10.05 | Mean fitness (Test): -8.63
Generation 650 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -6.72 | Mean fitness (Train): -13.74 | Mean fitness (Test): -11.76
Generation 660 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -4.21 | Mean fitness (Train): -16.93 | Mean fitness (Test): -7.13
Generation 670 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -6.23 | Mean fitness (Train): -23.26 | Mean fitness (Test): -9.41
Generation 680 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -4.90 | Mean fitness (Train): -13.23 | Mean fitness (Test): -9.83
Generation 690 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -4.25 | Mean fitness (Train): -10.92 | Mean fitness (Test): -7.83
Generation 700 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -8.94 | Mean fitness (Train): -13.65 | Mean fitness (Test): -11.01
Generation 710 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -4.81 | Mean fitness (Train): -15.92 | Mean fitness (Test): -13.84
Generation 720 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -4.80 | Mean fitness (Train): -32.00 | Mean fitness (Test): -9.16
Generation 730 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -7.22 | Mean fitness (Train): -13.86 | Mean fitness (Test): -10.95
Generation 740 | Best fitness (Train): 3.43 | Best fitness in generation (Train): -6.28 | Mean fitness (Train): -38.30 | Mean fitness (Test): -53.36
