Tue 11 Nov 2025 15:25:06 IST

SLURM_JOBID:		 8108723
SLURM_JOB_NODELIST:	 ise-pheno-07 

configuration parmas running: problem_type=brax es_algorithms=DES
Loading Problems ..:   0%|                                                                                                           | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1111 15:25:24.493127 1647371 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/DiscoveredES/0]
Generation 170 | Best fitness (Train): 1577.85 | Best fitness in generation (Train): 1477.09 | Mean fitness (Train): 642.14 | Mean fitness (Test): 1778.75
Generation 180 | Best fitness (Train): 1577.85 | Best fitness in generation (Train): 1478.28 | Mean fitness (Train): 730.57 | Mean fitness (Test): 1738.89
Generation 190 | Best fitness (Train): 1592.83 | Best fitness in generation (Train): 1540.96 | Mean fitness (Train): 755.57 | Mean fitness (Test): 1778.80
Generation 200 | Best fitness (Train): 1708.67 | Best fitness in generation (Train): 1473.74 | Mean fitness (Train): 814.99 | Mean fitness (Test): 1727.14
Generation 210 | Best fitness (Train): 1771.56 | Best fitness in generation (Train): 1596.59 | Mean fitness (Train): 822.78 | Mean fitness (Test): 1966.10
Generation 220 | Best fitness (Train): 1790.04 | Best fitness in generation (Train): 1689.70 | Mean fitness (Train): 834.97 | Mean fitness (Test): 1956.93
Generation 230 | Best fitness (Train): 1860.43 | Best fitness in generation (Train): 1860.43 | Mean fitness (Train): 930.52 | Mean fitness (Test): 2089.28
Generation 240 | Best fitness (Train): 1868.18 | Best fitness in generation (Train): 1680.33 | Mean fitness (Train): 933.34 | Mean fitness (Test): 1995.24
Generation 250 | Best fitness (Train): 1924.60 | Best fitness in generation (Train): 1788.60 | Mean fitness (Train): 1010.24 | Mean fitness (Test): 2064.94
Generation 260 | Best fitness (Train): 2030.53 | Best fitness in generation (Train): 1803.50 | Mean fitness (Train): 1050.79 | Mean fitness (Test): 2020.95
Generation 270 | Best fitness (Train): 2030.53 | Best fitness in generation (Train): 1843.20 | Mean fitness (Train): 1078.47 | Mean fitness (Test): 1995.29
Generation 280 | Best fitness (Train): 2030.53 | Best fitness in generation (Train): 1954.74 | Mean fitness (Train): 1141.69 | Mean fitness (Test): 1866.19
Generation 290 | Best fitness (Train): 2098.32 | Best fitness in generation (Train): 1998.18 | Mean fitness (Train): 1128.90 | Mean fitness (Test): 2113.74
Generation 300 | Best fitness (Train): 2158.19 | Best fitness in generation (Train): 1853.84 | Mean fitness (Train): 1203.24 | Mean fitness (Test): 2221.84
Generation 310 | Best fitness (Train): 2158.19 | Best fitness in generation (Train): 2016.12 | Mean fitness (Train): 1230.67 | Mean fitness (Test): 2205.64
Generation 320 | Best fitness (Train): 2158.19 | Best fitness in generation (Train): 1854.80 | Mean fitness (Train): 1267.02 | Mean fitness (Test): 2178.22
Generation 330 | Best fitness (Train): 2158.19 | Best fitness in generation (Train): 1998.89 | Mean fitness (Train): 1304.26 | Mean fitness (Test): 2256.47
Generation 340 | Best fitness (Train): 2159.21 | Best fitness in generation (Train): 2040.24 | Mean fitness (Train): 1314.44 | Mean fitness (Test): 2274.28
Generation 350 | Best fitness (Train): 2159.21 | Best fitness in generation (Train): 1978.71 | Mean fitness (Train): 1277.06 | Mean fitness (Test): 2249.62
Generation 360 | Best fitness (Train): 2246.98 | Best fitness in generation (Train): 2105.91 | Mean fitness (Train): 1364.68 | Mean fitness (Test): 2351.38
Generation 370 | Best fitness (Train): 2246.98 | Best fitness in generation (Train): 2212.75 | Mean fitness (Train): 1392.46 | Mean fitness (Test): 2267.05
Generation 380 | Best fitness (Train): 2292.21 | Best fitness in generation (Train): 2213.35 | Mean fitness (Train): 1399.92 | Mean fitness (Test): 2385.94
Generation 390 | Best fitness (Train): 2292.21 | Best fitness in generation (Train): 2285.76 | Mean fitness (Train): 1454.86 | Mean fitness (Test): 2352.95
Generation 400 | Best fitness (Train): 2339.60 | Best fitness in generation (Train): 2121.39 | Mean fitness (Train): 1477.99 | Mean fitness (Test): 2222.33
Generation 410 | Best fitness (Train): 2458.62 | Best fitness in generation (Train): 2458.62 | Mean fitness (Train): 1533.30 | Mean fitness (Test): 2424.39
Generation 420 | Best fitness (Train): 2458.62 | Best fitness in generation (Train): 2237.23 | Mean fitness (Train): 1517.84 | Mean fitness (Test): 2527.41
Generation 430 | Best fitness (Train): 2580.71 | Best fitness in generation (Train): 2248.56 | Mean fitness (Train): 1567.49 | Mean fitness (Test): 2753.64
Generation 440 | Best fitness (Train): 2580.71 | Best fitness in generation (Train): 2316.23 | Mean fitness (Train): 1590.73 | Mean fitness (Test): 2772.65
Generation 450 | Best fitness (Train): 2580.71 | Best fitness in generation (Train): 2397.73 | Mean fitness (Train): 1614.51 | Mean fitness (Test): 2943.44
Generation 460 | Best fitness (Train): 2639.70 | Best fitness in generation (Train): 2500.09 | Mean fitness (Train): 1709.48 | Mean fitness (Test): 2940.02
Generation 470 | Best fitness (Train): 2696.74 | Best fitness in generation (Train): 2615.21 | Mean fitness (Train): 1741.61 | Mean fitness (Test): 2979.96
Generation 480 | Best fitness (Train): 2921.25 | Best fitness in generation (Train): 2535.94 | Mean fitness (Train): 1731.07 | Mean fitness (Test): 2889.52
Generation 490 | Best fitness (Train): 2921.25 | Best fitness in generation (Train): 2859.32 | Mean fitness (Train): 1822.88 | Mean fitness (Test): 3008.53
Generation 500 | Best fitness (Train): 2944.76 | Best fitness in generation (Train): 2944.76 | Mean fitness (Train): 1871.45 | Mean fitness (Test): 3079.35
Generation 510 | Best fitness (Train): 2975.04 | Best fitness in generation (Train): 2832.32 | Mean fitness (Train): 1906.74 | Mean fitness (Test): 3179.45
Generation 520 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): 2862.89 | Mean fitness (Train): 1900.11 | Mean fitness (Test): 3209.51
Generation 530 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 540 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 550 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 560 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 570 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 580 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 590 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 600 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 610 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 620 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 630 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 640 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 650 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 660 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 670 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 680 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 690 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 700 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 710 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 720 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 730 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 740 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 750 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 760 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 770 | Best fitness (Train): 3047.58 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
