Sun 09 Nov 2025 00:24:20 IST

SLURM_JOBID:		 8041817
SLURM_JOB_NODELIST:	 cs-pheno-03 

configuration parmas running: problem_type=brax es_algorithms=PGPE
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:39.103892 1693476 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/PGPE/0]
Generation 020 | Best fitness (Train): -2.20 | Best fitness in generation (Train): -7.46 | Mean fitness (Train): -55.79 | Mean fitness (Test): 8.55
Generation 030 | Best fitness (Train): -2.20 | Best fitness in generation (Train): -7.91 | Mean fitness (Train): -50.59 | Mean fitness (Test): 8.19
Generation 040 | Best fitness (Train): -2.20 | Best fitness in generation (Train): -7.66 | Mean fitness (Train): -64.16 | Mean fitness (Test): -10.86
Generation 050 | Best fitness (Train): -2.20 | Best fitness in generation (Train): -4.68 | Mean fitness (Train): -46.24 | Mean fitness (Test): -44.97
Generation 060 | Best fitness (Train): -2.20 | Best fitness in generation (Train): -4.46 | Mean fitness (Train): -52.67 | Mean fitness (Test): -10.10
Generation 070 | Best fitness (Train): -2.20 | Best fitness in generation (Train): -5.83 | Mean fitness (Train): -55.70 | Mean fitness (Test): -55.53
Generation 080 | Best fitness (Train): -2.20 | Best fitness in generation (Train): -8.24 | Mean fitness (Train): -51.44 | Mean fitness (Test): -18.75
Generation 090 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -7.84 | Mean fitness (Train): -49.33 | Mean fitness (Test): -12.26
Generation 100 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -5.44 | Mean fitness (Train): -48.09 | Mean fitness (Test): -1.92
Generation 110 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -6.97 | Mean fitness (Train): -49.61 | Mean fitness (Test): -44.91
Generation 120 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -4.42 | Mean fitness (Train): -51.06 | Mean fitness (Test): -14.39
Generation 130 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -6.45 | Mean fitness (Train): -49.38 | Mean fitness (Test): 1.12
Generation 140 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -5.86 | Mean fitness (Train): -54.23 | Mean fitness (Test): -13.73
Generation 150 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -5.73 | Mean fitness (Train): -52.78 | Mean fitness (Test): -13.11
Generation 160 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -9.10 | Mean fitness (Train): -47.74 | Mean fitness (Test): -2.30
Generation 170 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -5.70 | Mean fitness (Train): -51.99 | Mean fitness (Test): -6.45
Generation 180 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -6.44 | Mean fitness (Train): -49.13 | Mean fitness (Test): -9.64
Generation 190 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -5.21 | Mean fitness (Train): -51.36 | Mean fitness (Test): -1.47
Generation 200 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -7.47 | Mean fitness (Train): -53.70 | Mean fitness (Test): -9.52
Generation 210 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -10.98 | Mean fitness (Train): -56.67 | Mean fitness (Test): -14.46
Generation 220 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -7.15 | Mean fitness (Train): -51.48 | Mean fitness (Test): -14.11
Generation 230 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -9.13 | Mean fitness (Train): -54.79 | Mean fitness (Test): -6.83
Generation 240 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -8.68 | Mean fitness (Train): -50.80 | Mean fitness (Test): -10.69
Generation 250 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -6.99 | Mean fitness (Train): -50.81 | Mean fitness (Test): -3.05
