Sun 09 Nov 2025 00:24:51 IST

SLURM_JOBID:		 8041823
SLURM_JOB_NODELIST:	 ise-3090-02 

configuration parmas running: problem_type=brax es_algorithms=CMA_ES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:25:11.855874 2565122 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/CMA_ES/0]
Generation 440 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.88 | Mean fitness (Train): -17.08 | Mean fitness (Test): -8.78
Generation 450 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.00 | Mean fitness (Train): -13.39 | Mean fitness (Test): -11.19
Generation 460 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.72 | Mean fitness (Train): -24.76 | Mean fitness (Test): -6.45
Generation 470 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.66 | Mean fitness (Train): -27.33 | Mean fitness (Test): -4.52
Generation 480 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.60 | Mean fitness (Train): -26.77 | Mean fitness (Test): -9.63
Generation 490 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.43 | Mean fitness (Train): -22.83 | Mean fitness (Test): -12.87
Generation 500 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -3.34 | Mean fitness (Train): -14.21 | Mean fitness (Test): -8.81
Generation 510 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -2.91 | Mean fitness (Train): -10.96 | Mean fitness (Test): -9.54
Generation 520 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -6.07 | Mean fitness (Train): -18.84 | Mean fitness (Test): -13.21
Generation 530 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.72 | Mean fitness (Train): -20.21 | Mean fitness (Test): -6.68
Generation 540 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -7.14 | Mean fitness (Train): -23.07 | Mean fitness (Test): -13.70
Generation 550 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.52 | Mean fitness (Train): -41.08 | Mean fitness (Test): -8.52
Generation 560 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -5.77 | Mean fitness (Train): -16.16 | Mean fitness (Test): -10.10
Generation 570 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -5.52 | Mean fitness (Train): -10.86 | Mean fitness (Test): -9.66
Generation 580 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -8.01 | Mean fitness (Train): -29.76 | Mean fitness (Test): -14.18
Generation 590 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.53 | Mean fitness (Train): -29.34 | Mean fitness (Test): -10.36
Generation 600 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -3.47 | Mean fitness (Train): -14.41 | Mean fitness (Test): -9.75
Generation 610 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.79 | Mean fitness (Train): -37.16 | Mean fitness (Test): -5.70
Generation 620 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.17 | Mean fitness (Train): -10.79 | Mean fitness (Test): -5.26
Generation 630 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -3.81 | Mean fitness (Train): -19.70 | Mean fitness (Test): -13.19
Generation 640 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -6.79 | Mean fitness (Train): -11.97 | Mean fitness (Test): -9.03
Generation 650 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.99 | Mean fitness (Train): -14.34 | Mean fitness (Test): -12.87
Generation 660 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.45 | Mean fitness (Train): -18.03 | Mean fitness (Test): -5.96
Generation 670 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.43 | Mean fitness (Train): -36.03 | Mean fitness (Test): -10.09
Generation 680 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -5.56 | Mean fitness (Train): -35.54 | Mean fitness (Test): -6.08
Generation 690 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -5.26 | Mean fitness (Train): -19.44 | Mean fitness (Test): -11.42
Generation 700 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -6.71 | Mean fitness (Train): -15.76 | Mean fitness (Test): -10.19
Generation 710 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.36 | Mean fitness (Train): -16.77 | Mean fitness (Test): -8.26
Generation 720 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -4.74 | Mean fitness (Train): -36.20 | Mean fitness (Test): -12.88
Generation 730 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -5.07 | Mean fitness (Train): -13.77 | Mean fitness (Test): -6.78
Generation 740 | Best fitness (Train): -1.56 | Best fitness in generation (Train): -5.87 | Mean fitness (Train): -38.18 | Mean fitness (Test): -31.18
