Sat 15 Nov 2025 22:55:10 IST

SLURM_JOBID:		 8184813
SLURM_JOB_NODELIST:	 cs-pheno-10 

configuration parmas running: problem_type=gymnax es_algorithms=SNES
Loading Problems ..:   0%|                                                                                                                                             | 0/4 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/jax/_src/ops/scatter.py:93: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
Successfully loaded: Asterix-MinAtar

running the experiment ... [../../results/GymnaxProblem/Asterix-MinAtar/SNES/0]
Generation 830 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 1.05 | Mean fitness (Test): 3.00
Generation 840 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 1.05 | Mean fitness (Test): 1.00
Generation 850 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 0.61 | Mean fitness (Test): 0.00
Generation 860 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.90 | Mean fitness (Test): 0.00
Generation 870 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.15 | Mean fitness (Test): 0.00
Generation 880 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 1.77 | Mean fitness (Test): 4.00
Generation 890 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.60 | Mean fitness (Test): 1.00
Generation 900 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.87 | Mean fitness (Test): 3.00
Generation 910 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.31 | Mean fitness (Test): 1.00
Generation 920 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 11.00 | Mean fitness (Train): 0.99 | Mean fitness (Test): 2.00
