Wed 22 Oct 2025 22:02:24 IDT

SLURM_JOBID:		 7735710
SLURM_JOB_NODELIST:	 cs-pheno-13 

configuration parmas running: problem_type=vision es_algorithms=SNES
Successfully loaded: MNIST
there is experiment results. [../../results/TorchVisionProblem/MNIST/SNES/0]
there is experiment results. [../../results/TorchVisionProblem/MNIST/SNES/1]
running the experiment ... [../../results/TorchVisionProblem/MNIST/SNES/2]
Generation 448 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.12
Generation 464 | Mean fitness (Test): 2.28 | Mean Accuracy (Test): 0.20
Generation 480 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.07
Generation 496 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.11
Generation 512 | Mean fitness (Test): 2.34 | Mean Accuracy (Test): 0.09
Generation 528 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.09
Generation 544 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.09
Generation 560 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.12
Generation 576 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.11
Generation 592 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.06
Generation 608 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.09
Generation 624 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.07
Generation 640 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.12
Generation 656 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.08
Generation 672 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.12
Generation 688 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 704 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.07
Generation 720 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.11
Generation 736 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.05
Generation 752 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.08
Generation 768 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.10
Generation 784 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.14
Generation 800 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.09
Generation 816 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 832 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.10
Generation 848 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 864 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.12
Generation 880 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.10
Generation 896 | Mean fitness (Test): 2.35 | Mean Accuracy (Test): 0.09
Generation 912 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.03
Generation 928 | Mean fitness (Test): 2.33 | Mean Accuracy (Test): 0.05
Generation 944 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 960 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.12
Generation 976 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.06
Generation 992 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.07
running the experiment ... [../../results/TorchVisionProblem/FashionMNIST/SNES/2]
Generation 016 | Mean fitness (Test): 50.38 | Mean Accuracy (Test): 0.30
Generation 032 | Mean fitness (Test): 35.86 | Mean Accuracy (Test): 0.34
Generation 048 | Mean fitness (Test): 40.82 | Mean Accuracy (Test): 0.46
Generation 064 | Mean fitness (Test): 29.42 | Mean Accuracy (Test): 0.51
Generation 080 | Mean fitness (Test): 22.06 | Mean Accuracy (Test): 0.49
Generation 096 | Mean fitness (Test): 11.71 | Mean Accuracy (Test): 0.48
Generation 112 | Mean fitness (Test): 4.36 | Mean Accuracy (Test): 0.10
Generation 128 | Mean fitness (Test): 3.75 | Mean Accuracy (Test): 0.11
Generation 144 | Mean fitness (Test): 3.30 | Mean Accuracy (Test): 0.11
